BIC,description
1,"in /var/log/nova/nova-api.log

```
013-06-04 12:01:17.998 ERROR nova.api.openstack [req-ea58ab37-aea6-40a4-b85f-2ab19285101e 5d45600dae844064b514f1549fe0dab9 b082fcb819db4104bb6d3dc18bcc4f17] Caught error: Network 5332f0f7-3156-4961-aa67-0b8507265fa5 is duplicated.
2013-06-04 12:01:17.998 2741 TRACE nova.api.openstack Traceback (most recent call last):
2013-06-04 12:01:17.998 2741 TRACE nova.api.openstack File ""/usr/lib/python2.7/dist-packages/nova/api/openstack/__init__.py"", line 81, in __call__
2013-06-04 12:01:17.998 2741 TRACE nova.api.openstack return req.get_response(self.application)
2013-06-04 12:01:17.998 2741 TRACE nova.api.openstack File ""/usr/lib/python2.7/dist-packages/webob/request.py"", line 1296, in send
2013-06-04 12:01:17.998 2741 TRACE nova.api.openstack application, catch_exc_info=False)
2013-06-04 12:01:17.998 2741 TRACE nova.api.openstack File ""/usr/lib/python2.7/dist-packages/webob/request.py"", line 1260, in call_application"
1,"The bulk-create-floating-ip and bulk-delete-floating-ip commands do not interact with floating_ip quotas. This is by design, since they're for admins rather than tenants.
However, in one case this causes a bug. If a tenant initially allocates the floating IP with create-floating-ip and consumed quota, and the admin later deletes the floating Ip with bulk-delete-floating-ip, the floating IP is freed but the quota is still consumed.
So we should change bulk-delete-floating-ip to release any quota that was associated with those floating IP addresses. (In many cases there will not be any so we need to check.)
This is https://bugzilla.redhat.com/show_bug.cgi?id=1029756 (but that bug is mostly private so won't people outside Red Hat much good)."
0,"gate-neutron-python26 failis for test_rollback_on_router_delete with following error:
2014-04-07 03:53:51,643 ERROR [neutron.plugins.bigswitch.servermanager] ServerProxy: POST failure for servers: ('localhost', 9000) Response: {'status': 'This server is broken, please try another'}
2014-04-07 03:53:51,643 ERROR [neutron.plugins.bigswitch.servermanager] ServerProxy: Error details: status=500, reason='Internal Server Error', ret={'status': 'This server is broken, please try another'}, data=""{'status': 'This server is broken, please try another'}""
}}}
Traceback (most recent call last):
  File ""neutron/tests/unit/bigswitch/test_router_db.py"", line 536, in test_rollback_on_router_delete
    expected_code=exc.HTTPInternalServerError.code)
  File ""neutron/tests/unit/test_db_plugin.py"", line 450, in _delete
    self.assertEqual(res.status_int, expected_code)
  File ""/home/jenkins/workspace/gate-neutron-python26/.tox/py26/lib/python2.6/site-packages/testtools/testcase.py"", line 321, in assertEqual
    self.assertThat(observed, matcher, message)
  File ""/home/jenkins/workspace/gate-neutron-python26/.tox/py26/lib/python2.6/site-packages/testtools/testcase.py"", line 406, in assertThat
    raise mismatch_error
MismatchError: 204 != 500
full log is here:
http://logs.openstack.org/29/82729/3/check/gate-neutron-python26/a1065eb/testr_results.html.gz"
1,"Steps to reproduce
1. Create a new flavor, setting and add the current project as flavor access
2. The flavor is created but an error is displayed saying ""Unable to set flavor access for project.....""
The error is thrown because Horizon creates the flavor and add the access after that. The problem is that once a private flavor is created, nova adds the current project within the flavor accesses so when Horizon tries to add the access, nova throws an ""Access already exist for this flavor"" exception"
1,"neutron/agent/l3_agent.py:

 LOG.debug(""not hosting snat for router: %"", ri.router['id'])"
0,"Version
=======
Havana on rhel
Description
===========
It's possible to delete health monitor while they are associated to one or more pools, I think that this should be prohibited, and dissociation from pool should be required first."
0,"gkotton@ubuntu:~/nova$ tox nova.tests.virt.xenapi.test_xenapi
py26 create: /home/gkotton/nova/.tox/py26
ERROR: InterpreterNotFound: python2.6
py27 develop-inst-nodeps: /home/gkotton/nova
py27 runtests: commands[0] | python -m nova.openstack.common.lockutils python setup.py test --slowest --testr-args=nova.tests.virt.xenapi.test_xenapi
[pbr] Excluding argparse: Python 2.6 only dependency
running test
running=OS_STDOUT_CAPTURE=${OS_STDOUT_CAPTURE:-1} \
OS_STDERR_CAPTURE=${OS_STDERR_CAPTURE:-1} \
OS_TEST_TIMEOUT=${OS_TEST_TIMEOUT:-160} \
${PYTHON:-python} -m subunit.run discover -t ./ ./nova/tests --list
running=OS_STDOUT_CAPTURE=${OS_STDOUT_CAPTURE:-1} \
OS_STDERR_CAPTURE=${OS_STDERR_CAPTURE:-1} \
OS_TEST_TIMEOUT=${OS_TEST_TIMEOUT:-160} \
${PYTHON:-python} -m subunit.run discover -t ./ ./nova/tests --load-list /tmp/tmp349WwU
running=OS_STDOUT_CAPTURE=${OS_STDOUT_CAPTURE:-1} \
OS_STDERR_CAPTURE=${OS_STDERR_CAPTURE:-1} \
OS_TEST_TIMEOUT=${OS_TEST_TIMEOUT:-160} \
${PYTHON:-python} -m subunit.run discover -t ./ ./nova/tests --load-list /tmp/tmpccaidD
running=OS_STDOUT_CAPTURE=${OS_STDOUT_CAPTURE:-1} \
OS_STDERR_CAPTURE=${OS_STDERR_CAPTURE:-1} \
OS_TEST_TIMEOUT=${OS_TEST_TIMEOUT:-160} \
${PYTHON:-python} -m subunit.run discover -t ./ ./nova/tests --load-list /tmp/tmpMvMcYb
running=OS_STDOUT_CAPTURE=${OS_STDOUT_CAPTURE:-1} \
OS_STDERR_CAPTURE=${OS_STDERR_CAPTURE:-1} \
OS_TEST_TIMEOUT=${OS_TEST_TIMEOUT:-160} \
${PYTHON:-python} -m subunit.run discover -t ./ ./nova/tests --load-list /tmp/tmpzJ2QHG
Ran 201 (+199) tests in 16.446s (+0.396s)
PASSED (id=350)
Slowest Tests
Test id Runtime (s)
----------------------------------------------------------------------------------------------------------------------- -----------
nova.tests.virt.xenapi.test_xenapi.XenAPIVMTestCase.test_spawn_agent_upgrade_fails_silently 16.223
nova.tests.virt.xenapi.test_xenapi.XenAPIVMTestCase.test_spawn_fails_agent_not_implemented 16.222
nova.tests.virt.xenapi.test_xenapi.XenAPIVMTestCase.test_spawn_fails_with_agent_bad_return 16.034
nova.tests.virt.xenapi.test_xenapi.XenAPIAggregateTestCase.test_add_aggregate_host_raise_err 1.116
nova.tests.virt.xenapi.test_xenapi.XenAPIVMTestCase.test_maintenance_mode 0.297
nova.tests.virt.xenapi.test_xenapi.XenAPIMigrateInstance.test_migrate_disk_and_power_off 0.277
nova.tests.virt.xenapi.test_xenapi.XenAPIVMTestCase.test_spawn_vlanmanager 0.195
nova.tests.virt.xenapi.test_xenapi.XenAPIAggregateTestCase.test_remote_master_non_empty_pool 0.179
nova.tests.virt.xenapi.test_xenapi.XenAPIMigrateInstance.test_migrate_disk_and_power_off_with_zero_gb_old_and_new_works 0.179
nova.tests.virt.xenapi.test_xenapi.XenAPIDom0IptablesFirewallTestCase.test_static_filters 0.171
py33 create: /home/gkotton/nova/.tox/py33
ERROR: InterpreterNotFound: python3.3"
0,PLUMgrid Director error messages should be reported at plugin level as well.
1,"When a user with admin role tries to list volumes belong to a given tenant, it does not work when all_tenants=0 is specified.
Requesting with all_tenants=0 should get the same response as requesting without all_tenants parameter.
Details:
OpenStack Release Version: IceHouse
Issue a REST API with an admin token (user's role in the specified tenant is admin).
- GET /v2/{tenant_id}/volumes
  Lists volumes in the specified tenant.
- GET /v2/{tenant_id}/volumes?all_tenants=0
  Lists volumes in all tenants.
- GET /v2/{tenant_id}/volumes?all_tenants=1
  Lists volumes in all tenants."
0,"the new jsonutils hacking check produces a pep8 traceback because it returns a set (column offset and error text) instead of an iterable (as logical line checks, like this check, should).

commit 243879f5c51fc45f03491bcb78765945ddf76be8
Change-Id: I86ed6cd3316dd4da5e1b10b36a3ddba3739316d3

===== 8< ===== TEST CASE ===== 8< =====
$ echo 'foo = json.dumps(bar)' >nova/foobar.py
$ flake8 -vv nova/foobar.py
local configuration: in /home/dev/Desktop/nova-test
  ignore = E121,E122,E123,E124,E125,E126,E127,E128,E129,E131,E251,H405,H803,H904
  exclude = .venv,.git,.tox,dist,doc,*openstack/common*,*lib/python*,*egg,build,tools
checking nova/foobar.py
foo = json.dumps(bar)
Traceback (most recent call last):
  File ""/home/dev/Desktop/nova-test/.venv/bin/flake8"", line 9, in <module>
    load_entry_point('flake8==2.1.0', 'console_scripts', 'flake8')()
  File ""/home/dev/Desktop/nova-test/.venv/local/lib/python2.7/site-packages/flake8/main.py"", line 32, in main
    report = flake8_style.check_files()
  File ""/home/dev/Desktop/nova-test/.venv/local/lib/python2.7/site-packages/pep8.py"", line 1672, in check_files
    runner(path)
  File ""/home/dev/Desktop/nova-test/.venv/local/lib/python2.7/site-packages/flake8/engine.py"", line 73, in input_file
    return fchecker.check_all(expected=expected, line_offset=line_offset)
  File ""/home/dev/Desktop/nova-test/.venv/local/lib/python2.7/site-packages/pep8.py"", line 1436, in check_all
    self.check_logical()
  File ""/home/dev/Desktop/nova-test/.venv/local/lib/python2.7/site-packages/pep8.py"", line 1338, in check_logical
    for offset, text in self.run_check(check, argument_names) or ():
TypeError: 'int' object is not iterable
===== 8< ===== TEST CASE ===== 8< =====

diff --git a/nova/hacking/checks.py b/nova/hacking/checks.py
index a1dd614..7fe7412 100644
--- a/nova/hacking/checks.py
+++ b/nova/hacking/checks.py
@@ -300,7 +300,7 @@ def use_jsonutils(logical_line, filename):
         for f in json_funcs:
             pos = logical_line.find('json.%s' % f)
             if pos != -1:
- return (pos, msg % {'fun': f})
+ yield (pos, msg % {'fun': f})

 def factory(register):
===== 8< ===== PATCH ===== 8< =====

it's late, so tomorrow, if there hasn't been any activity on this, then i'll submit a patch for review."
1,"Migrate a non existent server throws HTTPBadRequest exception ,the correct is InstanceNotFound exception.
live-migrate has the same problem.
The other server actions throw InstanceNotFound exception.
I think it's a bug."
1,"When launching several VMs in rapid succession, it is possible that libvirt's image caching will fetch the same image several times. This can occur when all of the VMs in question are using the same base image and this base image has not been previously fetched. The inline fetch_func_sync method prevents multiple threads from fetching the same image at the same time, but it does not prevent a thread that is waiting to acquire the lock from fetching the image that was being fetched while the lock was still in use. This is because the presence of the image is checked only before the lock has been acquired, not after."
1,"Havana3 is installed using Packstack on CentOS 6.4.
Nova-compute dies right after start with error ""NameError: global name '_' is not defined"".
Here is the info:
* /etc/nova/nova.conf:
pci_alias={""name"":""test"", ""product_id"":""7190"", ""vendor_id"":""8086"", ""device_type"":""ACCEL""}
pci_passthrough_whitelist=[{""vendor_id"":""8086"",""product_id"":""7190""}]
 With that configuration, nova-compute fails with the following log:
* /var/log/nova/compute.log:
  File ""/usr/lib/python2.6/site-packages/nova/openstack/common/rpc/amqp.py"", line 461, in _process_data
    **args)
  File ""/usr/lib/python2.6/site-packages/nova/openstack/common/rpc/dispatcher.py"", line 172, in dispatch
    result = getattr(proxyobj, method)(ctxt, **kwargs)
  File ""/usr/lib/python2.6/site-packages/nova/conductor/manager.py"", line 567, in object_action
    result = getattr(objinst, objmethod)(context, *args, **kwargs)
  File ""/usr/lib/python2.6/site-packages/nova/objects/base.py"", line 141, in wrapper
    return fn(self, ctxt, *args, **kwargs)
  File ""/usr/lib/python2.6/site-packages/nova/objects/pci_device.py"", line 242, in save
    self._from_db_object(context, self, db_pci)
NameError: global name '_' is not defined
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup Traceback (most recent call last):
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup File ""/usr/lib/python2.6/site-packages/nova/openstack/common/threadgroup.py"", line 117, in wait
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup x.wait()
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup File ""/usr/lib/python2.6/site-packages/nova/openstack/common/threadgroup.py"", line 49, in wait
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup return self.thread.wait()
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup File ""/usr/lib/python2.6/site-packages/eventlet/greenthread.py"", line 166, in wait
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup return self._exit_event.wait()
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup File ""/usr/lib/python2.6/site-packages/eventlet/event.py"", line 116, in wait
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup return hubs.get_hub().switch()
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup File ""/usr/lib/python2.6/site-packages/eventlet/hubs/hub.py"", line 177, in switch
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup return self.greenlet.switch()
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup File ""/usr/lib/python2.6/site-packages/eventlet/greenthread.py"", line 192, in main
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup result = function(*args, **kwargs)
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup File ""/usr/lib/python2.6/site-packages/nova/openstack/common/service.py"", line 65, in run_service
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup service.start()
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup File ""/usr/lib/python2.6/site-packages/nova/service.py"", line 164, in start
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup self.manager.pre_start_hook()
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup File ""/usr/lib/python2.6/site-packages/nova/compute/manager.py"", line 805, in pre_start_hook
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup self.update_available_resource(nova.context.get_admin_context())
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup File ""/usr/lib/python2.6/site-packages/nova/compute/manager.py"", line 4773, in update_available_resource
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup rt.update_available_resource(context)
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup File ""/usr/lib/python2.6/site-packages/nova/openstack/common/lockutils.py"", line 246, in inner
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup return f(*args, **kwargs)
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup File ""/usr/lib/python2.6/site-packages/nova/compute/resource_tracker.py"", line 318, in update_available_resource
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup self._sync_compute_node(context, resources)
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup File ""/usr/lib/python2.6/site-packages/nova/compute/resource_tracker.py"", line 347, in _sync_compute_node
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup self._update(context, resources, prune_stats=True)
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup File ""/usr/lib/python2.6/site-packages/nova/compute/resource_tracker.py"", line 420, in _update
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup self.pci_tracker.save(context)
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup File ""/usr/lib/python2.6/site-packages/nova/pci/pci_manager.py"", line 126, in save
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup dev.save(context)
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup File ""/usr/lib/python2.6/site-packages/nova/objects/base.py"", line 134, in wrapper
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup ctxt, self, fn.__name__, args, kwargs)
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup File ""/usr/lib/python2.6/site-packages/nova/conductor/rpcapi.py"", line 497, in object_action
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup objmethod=objmethod, args=args, kwargs=kwargs)
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup File ""/usr/lib/python2.6/site-packages/nova/rpcclient.py"", line 85, in call
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup return self._invoke(self.proxy.call, ctxt, method, **kwargs)
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup File ""/usr/lib/python2.6/site-packages/nova/rpcclient.py"", line 63, in _invoke
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup return cast_or_call(ctxt, msg, **self.kwargs)
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup File ""/usr/lib/python2.6/site-packages/nova/openstack/common/rpc/proxy.py"", line 126, in call
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup result = rpc.call(context, real_topic, msg, timeout)
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup File ""/usr/lib/python2.6/site-packages/nova/openstack/common/rpc/__init__.py"", line 139, in call
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup return _get_impl().call(CONF, context, topic, msg, timeout)
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup File ""/usr/lib/python2.6/site-packages/nova/openstack/common/rpc/impl_qpid.py"", line 794, in call
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup rpc_amqp.get_connection_pool(conf, Connection))
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup File ""/usr/lib/python2.6/site-packages/nova/openstack/common/rpc/amqp.py"", line 574, in call
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup rv = list(rv)
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup File ""/usr/lib/python2.6/site-packages/nova/openstack/common/rpc/amqp.py"", line 539, in __iter__
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup raise result
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup NameError: global name '_' is not defined
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup Traceback (most recent call last):
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup File ""/usr/lib/python2.6/site-packages/nova/openstack/common/rpc/amqp.py"", line 461, in _process_data
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup **args)
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup File ""/usr/lib/python2.6/site-packages/nova/openstack/common/rpc/dispatcher.py"", line 172, in dispatch
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup result = getattr(proxyobj, method)(ctxt, **kwargs)
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup File ""/usr/lib/python2.6/site-packages/nova/conductor/manager.py"", line 567, in object_action
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup result = getattr(objinst, objmethod)(context, *args, **kwargs)
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup File ""/usr/lib/python2.6/site-packages/nova/objects/base.py"", line 141, in wrapper
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup return fn(self, ctxt, *args, **kwargs)
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup File ""/usr/lib/python2.6/site-packages/nova/objects/pci_device.py"", line 242, in save
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup self._from_db_object(context, self, db_pci)
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup
2013-09-10 12:52:23.774 14749 TRACE nova.openstack.common.threadgroup NameError: global name '_' is not defined"
1,"LibvirtGenericVIFDriver, when using the hybrid bridge method of plugging instances, needs to disable hairpinning to prevent IPv6 ICMPv6 packets from being sent back to the instance, which will cause IPv6 configuration to fail, because the instance will believe that the address it has configured has already been used."
1,"2014-03-27 14:22:13.716 ERROR cinder.volume.drivers.san.san [req-ef2dc69d-74f5-4551-b4bd-74ec725f0390 08328d4607504beda2c6bb189b879ba6 c9c4178
0fac445b3b6e9a1ff2c805d8d] Error running SSH command: svctask addvdiskcopy -rsize 2% -autoexpand -warning 20% -grainsize 256 -easytier on -mdi
skgrp Anna_Test volume-a9b15c37-f70f-4a47-8f29-101d7e3970ef
2014-03-27 14:22:13.717 ERROR cinder.volume.drivers.ibm.storwize_svc.ssh [req-ef2dc69d-74f5-4551-b4bd-74ec725f0390 08328d4607504beda2c6bb189b8
79ba6 c9c41780fac445b3b6e9a1ff2c805d8d] CLI Exception output:
 command: ['svctask', 'addvdiskcopy', '-rsize', '2%', '-autoexpand', '-warning', '20%', '-grainsize', '256', '-easytier', 'on', '-mdiskgrp', u
'Anna_Test', u'volume-a9b15c37-f70f-4a47-8f29-101d7e3970ef']
 stdout:
 stderr: CMMVC6352E The command failed because the number of copies of this virtual disk (VDisk) would exceed the limit.
2014-03-27 14:22:13.718 ERROR cinder.volume.manager [req-ef2dc69d-74f5-4551-b4bd-74ec725f0390 08328d4607504beda2c6bb189b879ba6 c9c41780fac445b3b6e9a1ff2c805d8d] Volume a9b15c37-f70f-4a47-8f29-101d7e3970ef: driver error when trying to retype, falling back to generic mechanism.
2014-03-27 14:22:13.719 ERROR cinder.volume.manager [req-ef2dc69d-74f5-4551-b4bd-74ec725f0390 08328d4607504beda2c6bb189b879ba6 c9c41780fac445b3b6e9a1ff2c805d8d] Bad or unexpected response from the storage volume backend API: CLI Exception output:
 command: ['svctask', 'addvdiskcopy', '-rsize', '2%', '-autoexpand', '-warning', '20%', '-grainsize', '256', '-easytier', 'on', '-mdiskgrp', u'Anna_Test', u'volume-a9b15c37-f70f-4a47-8f29-101d7e3970ef']
 stdout:
 stderr: CMMVC6352E The command failed because the number of copies of this virtual disk (VDisk) would exceed the limit.
2014-03-27 14:22:13.719 TRACE cinder.volume.manager Traceback (most recent call last):
2014-03-27 14:22:13.719 TRACE cinder.volume.manager File ""/opt/stack/cinder/cinder/volume/manager.py"", line 1232, in retype
2014-03-27 14:22:13.719 TRACE cinder.volume.manager diff, host)
2014-03-27 14:22:13.719 TRACE cinder.volume.manager File ""/opt/stack/cinder/cinder/volume/drivers/ibm/storwize_svc/__init__.py"", line 734, in retype
2014-03-27 14:22:13.719 TRACE cinder.volume.manager self.configuration)
2014-03-27 14:22:13.719 TRACE cinder.volume.manager File ""/opt/stack/cinder/cinder/volume/drivers/ibm/storwize_svc/helpers.py"", line 703, in add_vdisk_copy
2014-03-27 14:22:13.719 TRACE cinder.volume.manager new_copy_id = self.ssh.addvdiskcopy(vdisk, dest_pool, params)
2014-03-27 14:22:13.719 TRACE cinder.volume.manager File ""/opt/stack/cinder/cinder/volume/drivers/ibm/storwize_svc/ssh.py"", line 304, in addvdiskcopy
2014-03-27 14:22:13.719 TRACE cinder.volume.manager return self.run_ssh_check_created(ssh_cmd)
2014-03-27 14:22:13.719 TRACE cinder.volume.manager File ""/opt/stack/cinder/cinder/volume/drivers/ibm/storwize_svc/ssh.py"", line 60, in run_ssh_check_created
2014-03-27 14:22:13.719 TRACE cinder.volume.manager out, err = self._run_ssh(ssh_cmd)
2014-03-27 14:22:13.719 TRACE cinder.volume.manager File ""/opt/stack/cinder/cinder/volume/drivers/ibm/storwize_svc/ssh.py"", line 41, in _run_ssh
2014-03-27 14:22:13.719 TRACE cinder.volume.manager raise exception.VolumeBackendAPIException(data=msg)
2014-03-27 14:22:13.719 TRACE cinder.volume.manager VolumeBackendAPIException: Bad or unexpected response from the storage volume backend API: CLI Exception output:
2014-03-27 14:22:13.719 TRACE cinder.volume.manager command: ['svctask', 'addvdiskcopy', '-rsize', '2%', '-autoexpand', '-warning', '20%', '-grainsize', '256', '-easytier', 'on', '-mdiskgrp', u'Anna_Test', u'volume-a9b15c37-f70f-4a47-8f29-101d7e3970ef']"
0, there is a _get_security_groups_on_port(...) which checks that all security groups on port belong to tenant. This method is called every time a port is created. This method calls get_security_groups(...) and with 'service' tenant
1,"Only one firewall is allowed per tenant. This works as expected for non-admin tenants.
When a new firewall is added in the context of admin, this fails if some other tenant already has a firewall. This is because 'get_firewall_count' returns sum of all firewalls in the system. Addition of a new firewall for admin fails with the following error message.
500-{u'NeutronError': {u'message': u'Exceeded allowed count of firewalls for tenant tenant-2. Only one firewall is supported per tenant.', u'type': u'FirewallCountExceeded', u'detail': u''}}
fwaas_plugin.py
----------------
def create_firewall(self, context, firewall):
        LOG.debug(_(""create_firewall() called""))
        tenant_id = self._get_tenant_id_for_create(context,
                                                   firewall['firewall'])
        fw_count = self.get_firewalls_count(context)
        if fw_count:
            raise FirewallCountExceeded(tenant_id=tenant_id)
----------------
=> fw_count = self.get_firewalls_count(context)
In the context of admin, the function counts other tenant's firewall."
1,"Steps to Reproduce:
                                   1. create two network connected to the router and each network having a VM
                                   2. create firewall rule of icmp deny
                                   3. attach the firewall rule to the policy
                                   4. Create firewall with that policy and check that firewall is active
                                   5. Try to ping from one vm to another vm.
Actual Results:
                                VM is able to ping even though firewall is active. However the ping fails as expected after creating external gateway to the router.
Expected Results:
                                It should fail since the firewall is active"
1,"Hi,
I run tempest on a freshly installed packages in debian wheezy.
And tests around tempurl fail to compute the hmac in the tempurl middleware
(One of test that failed: tempest.api.object_storage.test_object_temp_url.ObjectTempUrlTest.test_put_object_using_temp_url)
The problem seems due that the HMAC key is 'unicode' instead of 'str'.
Here the error from the proxy-server daemon:
Oct 21 07:26:40 packages-va-wheezy-havana proxy-server Error: character mapping must return integer, None or unicode:
Traceback (most recent call last):
  File ""/usr/lib/python2.7/dist-packages/swift/common/middleware/catch_errors.py"", line 37, in handle_request
    resp = self._app_call(env)
  File ""/usr/lib/python2.7/dist-packages/swift/common/wsgi.py"", line 388, in _app_call
    resp = self.app(env, self._start_response)
  File ""/usr/lib/python2.7/dist-packages/swift/common/middleware/healthcheck.py"", line 57, in __call__
    return self.app(env, start_response)
  File ""/usr/lib/python2.7/dist-packages/swift/common/middleware/proxy_logging.py"", line 268, in __call__
    iterable = self.app(env, my_start_response)
  File ""/usr/lib/python2.7/dist-packages/swift/common/middleware/memcache.py"", line 67, in __call__
    return self.app(env, start_response)
  File ""/usr/lib/python2.7/dist-packages/swift/common/swob.py"", line 1188, in _wsgify_self
    return func(self, Request(env))(env, start_response)
  File ""/usr/lib/python2.7/dist-packages/swift/common/middleware/slo.py"", line 458, in __call__
    return self.app(env, start_response)
  File ""/usr/lib/python2.7/dist-packages/swift/common/middleware/ratelimit.py"", line 266, in __call__
    return self.app(env, start_response)
  File ""/usr/lib/python2.7/dist-packages/swift/common/middleware/formpost.py"", line 330, in __call__
    return self.app(env, start_response)
  File ""/usr/lib/python2.7/dist-packages/swift/common/middleware/tempurl.py"", line 278, in __call__
    hmac_vals = self._get_hmacs(env, temp_url_expires, keys)
  File ""/usr/lib/python2.7/dist-packages/swift/common/middleware/tempurl.py"", line 381, in _get_hmacs
    for key in keys]
  File ""/usr/lib/python2.7/dist-packages/swift/common/middleware/tempurl.py"", line 404, in _get_hmac
    env['PATH_INFO']), sha1).hexdigest()
  File ""/usr/lib/python2.7/hmac.py"", line 133, in new
    return HMAC(key, msg, digestmod)
  File ""/usr/lib/python2.7/hmac.py"", line 72,
Regards,
sileht"
1,"The following traces were found when VolumesActionsTest has failed:
http://logs.openstack.org/18/63918/5/gate/gate-tempest-dsvm-neutron-pg-isolated/5a67370/console.html
http://logs.openstack.org/18/63918/5/gate/gate-tempest-dsvm-neutron-pg-isolated/5a67370/logs/screen-q-svc.txt.gz?level=TRACE#_2014-01-04_11_56_37_489"
1,"Currently the ObjectList is mostly immutable, i.e. although the items in the list is changable, but the list itself should not be add or remove.
However the PCI manager use a ObjectList to track all the devices in the host and may add/remove, this is not correct. We should not use the Object List but a simple list to track all the devices."
1,"At the moment we are quite inconsistent with some of the error notifications.

Those triggered by the wrappers of compute manager calls are good. However:

* where an instance fault is registered inline, we don't always send an error notification
* where we send an error notification inline, we generally don't send the message and exception information in a consistent way

I am looking to resolve that, so there is more consistency when raising error notifications in the compute manager."
